z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,label
0.97675043,-0.12613863,-2.0303617,-0.5466079,0.5085896,1.0426344,0.7042383,-0.79834765,1.6593071,0.24578863,-0.1134875,-0.936628,-0.007996738,1.2046244,0.57927936,-0.17362347,2.2722101,0.08716108,0.0226008,0.11504142,-0.2570814,1.2177458,-0.10893518,0.5885746,-1.355395,0.47493064,1.7750561,-1.4571761,1.6127536,0.112993896,0.031677786,-0.9636466,0
0.8483145,0.8701311,-0.97147495,-1.3305417,0.32738858,1.0542375,0.10677089,-0.2724972,1.5313543,-1.18877,1.0266478,0.034400333,0.657506,-0.4417204,1.3711119,0.0420181,0.5905576,0.23965377,0.24856934,1.0578492,-0.13647658,-0.9466209,-0.853654,-0.40348172,-0.15406232,-0.69402826,1.9935079,-1.4896773,-0.35502487,-0.2894141,2.307155,-1.7120322,0
-0.8732859,-0.023056656,-0.41201198,0.92491794,0.51733327,-0.0005028993,0.12043829,0.09885475,-0.1481553,-0.95861435,-0.07056982,3.481878,0.30362093,0.77694803,-0.581565,-0.32526472,-0.185426,0.21479633,1.0768952,2.245047,-0.00038023293,0.013123751,-0.13104446,1.0625767,-0.38684496,-0.0488849,-0.4817951,0.25366008,-0.83102304,1.5742794,0.51200646,-1.9074991,0
0.8145644,0.36939216,0.6451941,0.12595433,-0.5588316,-1.1314862,1.0883744,-0.3513178,0.91303116,0.6724741,1.3337924,1.7970462,0.28772923,-2.3104458,0.710919,1.1485052,-0.22313283,0.37458125,0.9014465,1.9630673,0.18010959,0.83154476,-0.522982,-0.9276195,-1.4671633,0.3338209,0.43623596,-0.40830123,-0.6659858,0.023403049,0.8735221,1.0664018,0
-0.11794824,-1.6433338,-0.3107615,0.3628946,0.65625125,1.0239278,0.73631084,0.16576874,0.85933864,-0.18588942,-0.060616605,-1.1786336,-0.5146251,1.1530504,0.7738236,-0.37074867,-0.37689254,-0.29838026,-1.3588666,-0.99583936,0.9223041,1.0539556,-0.81428427,-0.2550037,-0.031885266,1.3430781,0.97060066,-2.2559621,0.8050114,0.49075785,0.30636194,-0.074583754,0
0.065407455,0.6095363,-1.3484144,0.4391489,-0.3682034,1.6810609,-0.43880993,-0.39873606,2.5991955,-1.1691948,1.7399035,-0.16700205,0.76075286,0.40659305,0.3668164,0.46202233,0.48700437,-0.08103583,-0.806033,-0.34268975,-0.33241582,-1.4797926,0.34574866,-0.3984555,-0.4967283,0.45538905,1.3623827,-0.3983886,-0.20277947,0.016329944,1.4446698,-0.3209635,0
-1.3976543,0.62841904,0.1787535,-0.34662914,0.24069346,-2.051185,2.1490948,1.7692299,0.41745424,-0.41951734,-0.59829074,1.6911457,-0.42727527,-0.67094475,0.13290457,1.3766716,-0.5422066,2.4905574,0.53334284,2.6432734,0.45837328,0.6278362,0.070186555,-1.1818405,-0.42870706,-1.1497118,-1.1431898,-2.2391605,0.14413169,0.43572682,0.7517866,-0.35684532,0
-1.1101342,0.40715075,-0.08707333,-0.17032239,-0.2938395,-0.53813165,-0.44770986,0.07784764,0.8246526,1.086021,-0.5632689,0.5153849,0.08767635,-0.4228331,-0.0053010434,0.97002155,1.1859398,0.035892606,-0.36503696,-1.9889809,-0.3254847,0.25940856,-1.7577345,-0.37480837,-0.17576782,0.16685784,0.42795023,0.6554323,-0.613431,1.391749,-0.35529643,2.198225,0
-1.6077307,-0.40870678,-0.44004744,-0.4745345,0.05041618,-0.18576175,1.6900021,0.12618013,0.4227173,-0.086017504,0.43354452,3.371921,-1.4405944,1.291707,-0.66191757,1.0402079,0.5543866,0.3474164,-1.7399898,2.0387847,-1.3959768,0.84970427,0.2177042,0.32204854,0.48513472,-0.38668478,-0.8052188,-1.469157,-0.78317976,1.7534221,0.2475914,-0.957179,0
0.077971965,0.54457873,0.87660086,-0.6540589,-0.50194705,-0.9507285,-0.9324144,-0.72749245,1.5868925,0.22068152,1.0158546,2.6647036,0.9228769,0.71364677,-0.48144168,-2.5482209,1.000127,-0.44850624,0.15188731,1.4274824,-1.1030165,-1.1486044,1.3865944,-0.53655666,-0.42903352,-0.64434665,-1.5228561,-0.08323355,-0.6261003,-0.14484277,0.110008754,-1.230318,0
