z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,label
-1.1657224,-0.66035265,0.9371826,-1.5423843,1.5104953,-1.1981934,-0.51339287,-0.8995039,0
-0.269567,-0.12874478,0.86863875,-1.648722,1.2689927,0.0022499673,0.64205945,-2.2497182,0
-1.3074778,-1.5844808,-0.6457108,0.9439718,-1.2823483,-0.42294618,-1.9840401,1.7718147,0
-0.40825504,0.7222594,-1.489245,0.13822192,-0.1466793,2.0447261,-0.7868954,0.78535885,0
-0.33950925,-0.065008596,-1.3186249,-1.269894,-0.08295176,0.5047969,-0.5226608,1.7692779,0
-1.1606984,-1.8688128,1.5795515,-1.1730736,-0.33089495,-0.19269294,-0.90673643,-1.8224981,0
-0.16486168,-1.0561448,-0.1803718,2.474517,-0.76602066,0.6941072,-2.1522706,0.92813605,0
-0.8058643,-0.99397266,-0.8833933,-0.46013007,-0.4761094,0.08828333,-1.243514,2.5596623,0
-0.2673403,0.41631222,-0.8863664,0.52869743,-0.9985743,2.3883297,-1.2773105,0.89535815,0
-0.7601473,-1.5759546,1.3149074,-1.3558978,0.9427208,-1.1642591,-0.64758545,-1.1309768,0
-0.12548305,0.22164008,-1.440027,-1.6201314,0.42614686,0.48593476,0.064539015,1.2569828,0
-0.79767096,-2.197678,0.81423014,-1.0364114,0.5292621,-1.1512778,-0.29708654,-1.7288078,0
0.3569411,-1.0196573,0.925556,2.6862857,-1.1311404,1.4843867,-1.9320989,0.22542438,0
-0.55294776,-1.3649292,-0.84447145,1.0220746,-0.6799309,0.29353496,-1.1907325,2.08377,0
-1.0232742,-2.0342178,1.5639697,-0.9720565,-0.5179479,-0.48142847,-1.1737795,-1.6981331,0
-0.40283763,-0.059108138,-1.4376789,-1.2404671,-0.008963369,0.47546995,-0.34679377,1.7544198,0
-0.5775977,-1.6310085,0.007677572,2.5437486,-0.7293661,0.268474,-2.130058,1.046263,0
-0.46569026,0.76599115,-1.5005776,0.13500005,-0.08350952,1.9590318,-0.76322395,0.7960347,0
-0.9399016,-0.96744156,1.1244407,-1.246946,1.5857631,-1.2431204,-0.32649463,-1.3002254,0
-0.97884786,-1.5722802,1.1532474,-1.661641,0.42418832,0.20154499,-0.58041275,-0.51160437,0
-0.1712384,-2.245927,0.23364489,-0.34884578,-0.49454466,-1.6426253,-1.6662976,0.49655235,0
-0.5188137,-0.07576849,0.7328712,-2.3109193,0.79494697,0.7464268,-0.96154696,0.13160916,0
0.114722356,-0.69109374,0.7412474,-1.9306886,1.4643519,0.38933232,0.05306429,-0.35540676,0
0.07751703,0.41111723,-1.5430875,-1.589465,0.68918335,0.37468952,0.13577707,1.0056217,0
0.08163108,-1.2768039,0.89292544,2.9948354,-1.1066499,1.3329661,-1.917047,0.053310826,0
-0.7920486,-2.1016386,1.3078251,-1.1308457,-0.02636456,-0.51703227,-0.21903175,-1.6400735,0
-0.3682471,-0.10101506,-1.2290847,-1.4950231,0.049451575,0.49157482,-0.2882045,1.799756,0
0.3545203,-0.09485769,0.37503138,-1.722558,2.089533,0.2880578,0.4117582,-0.58567643,0
1.931125,-1.8507841,0.8587646,1.8631226,-1.4696082,0.38073358,-0.37631458,-0.45730117,0
-0.46377808,-0.9389221,-1.1581222,-0.26694828,-0.06140931,0.19404583,-0.82418936,2.4172812,0
-1.3117843,-1.8577741,1.5113243,-1.1064523,-0.3955268,-0.07099765,-1.1078738,-1.7846457,0
0.16581175,-0.7582085,-0.18023764,2.6987064,-1.0240195,1.0444138,-2.0355427,0.43840334,0
-0.5187459,-1.4622371,0.8012808,-1.734026,0.97817206,0.21670336,0.32533586,-0.80705315,0
-1.4664629,1.0165789,0.38466758,-1.4817891,2.4734788,-0.03749323,-1.0815754,-0.5230736,0
-0.32790965,-1.5618551,-0.06387684,-1.0246941,-0.34664562,-0.42155397,-1.1207669,1.4759711,0
-0.72524995,-0.4807848,0.7453366,-2.1872156,0.52998537,0.77045107,-1.0480536,0.46304172,0
-0.6760659,-0.09572752,0.82219654,-2.1952972,1.1962854,0.7440219,-0.726216,-0.18127084,0
0.8869658,0.86690825,0.3822376,-0.45092374,-0.9754775,0.8558146,-2.533707,-2.187588,0
-0.6267575,-2.417734,1.4331564,-0.93641675,-0.3853482,-0.49634147,-0.756663,-0.92650867,0
-0.97970605,-1.0517784,-0.759322,-0.1445096,-0.5879744,0.05046055,-1.3639249,2.4957743,0
-0.04335834,0.09324546,-1.5496696,-1.586955,0.66731906,0.4347411,0.1144328,1.2528543,0
0.026529858,-1.1536857,-1.3279377,0.9686576,0.3962762,0.6488946,-0.29998738,2.1493895,0
-0.3557392,-0.08952956,-1.1602582,-1.5372491,0.017746009,0.5365944,-0.48423707,1.5629473,0
-1.2123789,-1.8781278,1.2230029,-1.555999,0.2372829,0.28742343,-1.0107908,0.24321288,0
-0.2857058,0.14808878,-1.0304132,-2.0475955,0.31585506,0.5067391,-0.10543187,0.9820077,0
0.00037204102,-1.4639854,0.7109567,-1.4563915,0.7301377,0.15837647,1.0188224,-1.4558898,0
1.3454734,1.0051044,-1.6197208,-0.13075969,0.32942393,1.5531702,0.059055366,-0.32367095,0
1.4918258,-1.5193503,1.2876512,2.1326644,-1.8414834,1.0005155,-1.0675029,-0.37110773,0
-0.5705457,1.0093555,-0.04113736,-1.7444491,1.892749,0.20048188,0.13970603,-1.3026164,0
2.3362525,-0.48362422,-1.2158545,-0.54081804,0.40295348,-0.84986097,-0.09332319,-0.77582955,0
1.3985008,1.093323,-1.5966938,-0.42531914,0.6632217,0.7273295,-0.26746815,-0.98621505,0
-1.0366715,-0.30032924,0.5423462,-1.8551466,0.654337,-0.3781941,-1.1822087,-0.19299328,0
-0.37142584,0.42618254,-1.3352458,0.3251381,0.3248953,2.0977545,-0.7997304,1.1275213,0
-0.29857934,0.9985468,-0.54202956,-1.7901592,1.8144163,0.49894953,0.21100591,-0.83320475,0
0.18329968,-2.0165117,1.0352535,-0.8561806,-0.18525657,-1.8793333,-0.30016863,-1.9751929,0
-0.9638267,-0.003370138,-1.4344801,0.19963962,-0.21878177,1.2543238,-1.5180142,1.8942121,0
-0.33087263,-0.03224404,-1.5350991,-1.0395019,0.20301983,0.42935354,-0.43213314,1.9364244,0
-0.17499124,-2.254271,1.2293481,0.15430322,0.027816996,-2.746534,-2.4021003,-0.8756418,0
1.6345619,-1.6280739,0.57356167,1.5433646,-2.064811,-0.2855166,-0.5661138,-1.0342672,0
-0.7171274,0.45425224,-1.7387079,-0.37777895,-0.21306466,1.4635173,-0.57042575,0.9486345,0
-0.063565224,-1.2736567,0.37675297,3.1172674,-1.2346946,0.9337809,-2.028125,-0.25119224,0
-0.6615877,0.49286434,0.75739896,-1.7279236,1.627466,-0.17052509,0.33095464,-1.9494233,0
0.06636672,0.718886,-0.3513214,-1.6289606,1.1708207,0.10402675,0.039762057,-1.9612443,0
-1.0154914,-2.4510849,0.95883274,-0.9593426,0.08111276,-0.24802625,-1.1887802,0.6934161,0
-0.37430722,-0.042985275,-0.14695671,-2.132197,-0.77022237,0.3245232,-1.7164547,0.7314327,0
0.40979925,-2.2586603,0.37258825,-0.70448714,-0.48218435,-1.611599,-1.2094301,-0.015266341,0
-0.15670913,-0.76467216,0.81326663,-1.7951138,1.2188976,0.2483653,0.34405297,-1.3143153,0
0.85383797,-1.4168494,1.5394449,2.218211,-1.8463023,1.1568948,-1.5804409,-0.36627224,0
-0.2278761,-0.54697365,0.88035965,-1.7436895,1.3376169,0.38905093,0.33837107,-1.1031353,0
0.6465872,-1.0807283,1.2963641,2.5757174,-1.3043448,1.5459608,-1.8742173,-0.08633804,0
0.057476867,-1.0130694,-0.24874996,-1.5029722,0.23773208,1.0216309,-0.3834455,-0.62673485,0
-1.40742,1.542477,-1.4251983,-0.46343055,2.5744097,0.07558487,0.64449847,-0.7568229,0
-1.004116,-2.4732366,1.0837464,-0.90836936,0.065150134,-0.27847335,-1.2053432,0.34211296,0
0.79207194,-1.2440828,1.1412464,2.8099952,-1.1639364,1.526546,-1.4599096,-0.048393562,0
-0.58444554,-1.9719806,0.61247814,-0.9667143,0.56782,-1.074316,0.33040375,-2.452093,0
-0.5774323,0.65587926,-1.5663544,-0.053712584,-0.01735735,1.882337,-0.7706155,0.8465237,0
-0.63353914,-1.4728581,0.13400675,2.7622669,-1.0053997,0.4108007,-2.164005,0.4196391,0
1.4995568,-1.6811565,1.109263,1.9889227,-1.9174247,0.58241105,-0.7876641,-0.57821745,0
-0.28337607,-0.2079019,-1.5130347,-1.0262392,0.14201856,0.20880765,-0.36428276,2.017215,0
-0.9354333,-1.7115799,1.6664953,-0.6498682,-0.9367237,-0.92889065,-1.8136184,-2.4375203,0
-1.0364783,-0.086964786,-1.3806611,-0.06607515,-0.583797,0.8831394,-1.4046612,1.9427371,0
0.930178,1.0177443,0.34763035,-1.5429754,-0.77460134,1.5780092,-1.6373563,-1.0628644,0
-0.31335253,0.9851896,-0.37198964,-1.7259421,1.9034293,0.47193688,0.114108816,-0.68448216,0
-0.37480313,0.46013883,-1.5080562,0.27239364,0.1644565,2.0348587,-0.85598516,1.1030552,0
2.440998,-1.2456086,-0.29801512,0.35766256,0.1656848,-1.4598542,-0.012913277,-0.8948463,0
